NavCustomerNo;CompanyName;CustomerStatus;PriorityCustomer;PPS;OcFwTerr;OcFwSat;OcNotam;CustomerSince;PriceEscalation;Terminationdate;ChurnValue;Avoidable;ChurnReason;BlockedDate;BlockedReason
COM12691;Avedeq Ltd.;PotCust;0;0;0;0;0;06/01/2011 00:00:00;0.00;;0;;;11/03/2022 00:00:00;Out of business
COM13411;AVEM AERO OÜ;Customer;3;0;0;0;0;09/01/2019 00:00:00;8.00;;0;;;;
COM13296;AVIA BUSINESS GROUP;Quarantine;0;0;0;0;0;;0.00;;0;;;11/10/2020 00:00:00;No aircrafts, account closed.
COM12708;AVIASERVIS;Quarantine;0;0;0;0;0;09/01/2014 00:00:00;0.00;;0;;;03/09/2022 00:00:00;Discontinue of service - Russia
COM13692;Aviastar TU;Quarantine;0;0;0;0;0;;0.00;;0;;;;
COM13647;AviaThor;NonCust;0;0;0;0;0;;0.00;;0;;;;
COM11612;Aviation Bridge LTD;PotCust;0;0;0;0;0;;0.00;;0;;;;
;Aviation Pioneers;NonCust;0;0;0;0;0;01/20/2015 00:00:00;0.00;;0;;;;
COM12885;AviaTraining Centre CJSC;NonCust;0;0;0;0;0;08/01/2015 00:00:00;0.00;;0;Unavoidable;Moved to Fly One Armenia (COM14322) instead No need for this any longer;11/28/2023 00:00:00;Moved to Fly One Armenia (COM14322) instead No need for this any longer
COM11288;Avinode AB;NonCust;0;0;0;0;0;;0.00;;0;;;;
COM14645;AVIOVISION N.V. (AVIOBOOK);NonCust;0;0;0;0;0;;0.00;;0;;;;
COM13670;AVION EXPRESS;PotCust;1;0;0;0;0;;0.00;;0;;;;
;AVIONCO;PotCust;0;0;0;0;0;;0.00;;0;;;;
COM13272;AVIOSTART;Customer;3;1;0;0;0;12/16/2020 00:00:00;8.00;;0;;;;
COM13689;Azman Air Services;PotCust;0;0;0;0;0;;0.00;;0;;;;
;Business Aviation Asia Ltd.;PotCust;0;0;0;0;0;;0.00;;0;;;;
COM12952;BAA Training;PotCust;0;0;0;0;0;;0.00;;0;;;;
COM13341;Avincis Aviation Norway (Ex Babcock Norway);PotCust;0;0;0;0;0;01/01/2020 00:00:00;0.00;03/31/2025 00:00:00;0;Avoidable;Management decision - hele avincis gruppen skifter til FF. NO, SE, DK, PO, ES + afrika;;(PJ Reopening) Management decision - hele avincis gruppen skifter til FF. NO, SE, DK, PO, ES + afrika
;Baby Jet Airlines;PotCust;0;0;0;0;0;;0.00;;0;;;;
;BILLUND AIR CENTER;NonCust;0;0;0;0;0;;0.00;;0;;;;
COM11219;BAE Systems Corporate Air Travel Ltd.;PotCust;0;0;0;0;0;02/01/2005 00:00:00;0.00;;0;;;;
COM13292;BAE Systems Marine Ltd.;Customer via;0;0;0;0;0;02/01/2019 00:00:00;0.00;;0;;;12/12/2023 00:00:00;Moved to Signum
;Baltic Jet Aircompany;PotCust;0;0;0;0;0;;0.00;;0;;;;account closed correctly
COM13445;Bartolini Air;PotCust;0;0;0;0;0;;0.00;;0;;;;
COM13418;AlpAvia d.o.o. (previously Batagon);Quarantine;3;0;0;0;0;05/01/2019 00:00:00;8.00;10/01/2025 00:00:00;0;Unavoidable;Out of business, no AC left.;09/05/2025 00:00:00;Out of business, no AC left.
;BEARSKIN AIRLINES;PotCust;0;0;0;0;0;;0.00;;0;;;;
COM11424;Bel Air Aviation A/S;PotCust;0;0;0;0;0;;0.00;;0;;;;
;BELAVIA;PotCust;0;0;0;0;0;;0.00;;0;;;;
COM11044;BenAir A/S;NonCust;0;0;0;0;0;12/01/1991 00:00:00;0.00;;0;Unavoidable;No activity. See customer since - very old customer.;02/06/2023 00:00:00;AOC closed
COM13639;BEST WINGS;NonCust;0;0;0;0;0;;0.00;;0;;;;
COM11941;BESTFLY;PotCust;2;0;0;0;0;;0.00;;0;;;;
COM13488;BKNJET Havacılık AŞ;PotCust;0;0;0;0;0;;0.00;;0;;;;
COM13683;Biman Bangladesh Airlines LTD;PotCust;0;0;0;0;0;;0.00;;0;;;;
COM11668;Bin Air Aero Service GmbH;PotCust;0;0;0;0;0;;0.00;;0;;;;
COM13575;BINTER CANARIAS;Customer;1;47;47;47;47;12/19/2011 00:00:00;8.00;;0;;;;
COM14244;Bishwo Airways;PotCust;0;0;0;0;0;;0.00;;0;;;;
COM13210;Blackbird Air A/S;Customer;2;9;9;0;0;10/31/2017 00:00:00;8.00;;0;;;;
COM11223;BLUE AIR;PotCust;0;0;0;0;0;05/01/2015 00:00:00;0.00;;0;;;;
COM14111;Bluebird Airways;Customer;3;4;4;0;0;06/04/2024 00:00:00;8.00;;0;;;;
COM11297;Blue Islands Ltd.;NonCust;3;5;0;0;0;02/01/2006 00:00:00;8.00;11/24/2025 00:00:00;0;Unavoidable;Bankrypcty;11/24/2025 00:00:00;Bankruptcy
COM13428;Bluebair Jet S.A.;PotCust;0;0;0;0;0;;0.00;;0;;;;
COM12752;BLUEBIRD NORDIC;NonCust;0;0;0;0;0;11/01/2015 00:00:00;0.00;05/01/2024 00:00:00;0;Unavoidable;Shutting down activity. AC transfered to Air Explore.;06/10/2024 00:00:00;Opsagt kontrakten. Konkurs. Ført på tab
COM12186;Jet Story Sp. z o. o., Bluejet;PotCust;0;0;0;0;0;12/01/2018 00:00:00;0.00;;0;Avoidable;Going to jeppesen. Plates related;02/02/2023 00:00:00;Cancellation of services
COM13861;Blue One - Aircraft & Crew Management;NonCust;0;0;0;0;0;;0.00;;0;;;;
COM11236;Bookajet Ltd. Operations Department;PotCust;0;0;0;0;0;09/01/2009 00:00:00;0.00;;0;;;11/01/2022 00:00:00;Customer cancelled subscription
COM11055;BOSCH (SMS invoice);NonCust;0;0;0;0;0;06/01/2012 00:00:00;0.00;;0;;;;
COM13173;SoftwareOne;PotCust;3;1;0;0;0;06/01/2012 00:00:00;8.00;03/31/2026 00:00:00;0;Unavoidable;Aircraft sold - no demand for PPS;04/15/2026 00:00:00;Closed by customer
COM13651;BRAATHENS REGIONAL AIRWAYS;Customer;1;15;15;0;0;02/01/2010 00:00:00;8.00;;0;;;;
COM13369;BRAVO AIR Ltd;PotCust;0;0;0;0;0;;0.00;;0;;;;IMP invoice never settled. PPS never installed.
COM13228;Bravo Airways;PotCust;0;0;0;0;0;;0.00;;0;;;;
COM13511;Brightling Services;PotCust;0;0;0;0;0;;0.00;;0;;;;
;BRIT AIR;NonCust;0;0;0;0;0;;0.00;;0;;;;account closed correctly
;British Airways;PotCust;0;0;0;0;0;;0.00;;0;;;;
COM12405;BASe Airlines Zrt;Customer;3;3;0;0;0;10/01/2012 00:00:00;8.00;;0;;;;
COM12362;BULGARIA AIR;PotCust;2;0;0;0;0;12/11/2017 00:00:00;0.00;;0;;;01/06/2023 00:00:00;Contract terminated
COM12484;BURAQ AIR;Customer;3;5;4;4;0;09/01/2015 00:00:00;8.00;;0;;;;
COM11058;BUSINESSWINGS;Customer;3;3;3;0;0;02/01/1995 00:00:00;8.00;;0;;;;
COM12902;Smart Cargo S.A.;Customer;3;0;0;0;0;09/01/2015 00:00:00;8.00;;0;;;;
COM11665;Call & Fly;NonCust;0;0;0;0;0;;0.00;;0;;;;
;Calm Air International LP;PotCust;0;0;0;0;0;;0.00;;0;;;;
;CANADIAN NORTH;PotCust;0;0;0;0;0;;0.00;;0;;;;
COM11059;Capital Air charter Ltd;NonCust;0;0;0;0;0;;0.00;;0;;;;No more funding, ceased operation end Aug. 20.
;CARGILL;PotCust;0;0;0;0;0;;0.00;;0;;;;
;Cargolux Airlines International S.A;PotCust;0;0;0;0;0;;0.00;;0;;;;
COM12225;CARPATAIR S.A.;Customer;3;3;3;0;0;06/01/2012 00:00:00;0.00;;0;;;;
COM13552;Carthage Sky Service;PotCust;0;0;0;0;0;;0.00;;0;;;;
COM13319;Caspian Airlines;NonCust;0;0;0;0;0;;0.00;;0;;;;
COM13621;CAVOK AIR;PotCust;0;0;0;0;0;;0.00;;0;;;;
