NavCustomerNo,CompanyName,Country,Last12Months,Balance,FleetSize,Year2022,Dev2223,Year2023,Dev2324,Year2024,Dev2425,Year2025,YearToDate,LastYearToDate,LastFinancialYear
COM12235,AVIART LLC,RU,0,0,0,0,0,0,0,0,0,0,0,0,0
COM12245,REGOURD AVIATION (Amelia),FR,903034,102607,18,0,0,0,0,0,0,916310,511141,524418,916310
COM12247,Centreline AV Ltd.,GB,205980,0,6,0,0,0,0,0,0,280424,74669,149114,280424
COM12249,NOVAIR Test,,0,0,0,0,0,0,0,0,0,0,0,0,0
COM12255,Lux Flight Solutions SA,LU,359206,0,27,0,0,0,0,0,0,374893,164866,180553,374893
COM12257,FLYBE,GB,0,0,0,0,0,0,0,0,0,0,0,0,0
COM12275,Westerhof Aviation - AIROPS24 Flight Support BV,NL,189796,15825,1,0,0,0,0,0,0,171947,113456,95608,171947
COM12278,AURORA AVIATION SA,CH,50343,0,0,0,0,0,0,0,0,48401,25920,23978,48401
COM12288,Svenskt Industriflyg AB (Bluelink Jets AB),SE,41707,0,2,0,0,0,0,0,0,31958,25409,15659,31958
COM12301,Omni Avia��o eTecnologia SA.,PT,0,0,0,0,0,0,0,0,0,0,0,0,0
COM12304,TOYO AVIATION,RO,61271,3051,6,0,0,0,0,0,0,104783,21353,64865,104783
COM12306,G�zen Havacilik Ve TIC.A.S. (G�zen Air Services),TR,815884,0,15,0,0,0,0,0,0,776779,480087,440982,776779
COM12309,ROSENXT Holding AG,CH,29649,0,1,0,0,0,0,0,0,28302,17851,16504,28302
COM12319,SKAN SERVICE APS (CB WX only),DK,2975,0,0,0,0,0,0,0,0,2973,2975,2973,2973
COM12330,ICS-AERO SM S.r.l. socio unico,SM,0,0,0,0,0,0,0,0,0,0,0,0,0
COM12339,AMAC Corporate Jet AG,CH,23269,2002,1,0,0,0,0,0,0,22211,14010,12952,22211
COM12343,Aerotaxi Prague (CB WX only),CZ,2977,0,0,0,0,0,0,0,0,2971,2977,2971,2971
COM12350,GLOBAL AEROSPACE LOGISTICS 05(IMOC),,0,0,0,0,0,0,0,0,0,0,0,0,0
COM12353,ARKIA,IL,0,0,0,0,0,0,0,0,0,0,0,0,0
COM12361,THREE GREEN AERO (AOSAC / 3Green),BG,499624,0,7,0,0,0,0,0,0,484362,240271,225010,484362
COM12362,BULGARIA AIR,BG,0,0,0,0,0,0,0,0,0,0,0,0,0
COM12363,GEORGIAN AIRWAYS,GE,66898,0,10,0,0,0,0,0,0,63858,40278,37237,63858
COM12364,EPSILON AVIATION,GR,34796,2994,4,0,0,0,0,0,0,34896,20950,21050,34896
COM12369,SKY EXPRESS S.A.,GR,0,0,22,0,0,0,0,0,0,0,0,0,0
COM12370,TRADE AIR d.o.o.,HR,241417,0,5,0,0,0,0,0,0,190453,152888,101924,190453
COM12379,AIRJETSUL,PT,0,0,0,0,0,0,0,0,0,0,0,0,0
COM12380,MHS Aviation GmbH,DE,233674,17223,14,0,0,0,0,0,0,274688,131291,172304,274688
COM12393,METIS Aviation Limited,GB,50951,0,1,0,0,0,0,0,0,48946,30678,28672,48946
COM12396,"SATA Air Acores, SA",PT,226128,19455,7,0,0,0,0,0,0,215854,136145,125871,215854
COM12398,"AIR TRANSPORT EUROPE, spol. s r.o. (ATE)",SK,29649,0,10,0,0,0,0,0,0,29407,16746,16504,29407
COM12400,ICARUS AMC inc,US,49625,4269,0,0,0,0,0,0,0,35539,29874,15788,35539
COM12405,BASe Airlines Zrt,HU,103027,0,3,0,0,0,0,0,0,88016,64588,49576,88016
COM12411,Spire Flight Solutions WFS,US,34797,0,0,0,0,0,0,0,0,95108,0,60311,95108
COM12413,AIRBUS TRANSPORT INT. (FR89383474814),FR,0,0,0,0,0,0,0,0,0,0,0,0,0
COM12414,LUXWING Ltd.,MT,225177,0,10,0,0,0,0,0,0,233372,139838,148033,233372
COM12418,Skyblue Aero Singapore Pte. Ltd.,SG,246136,16610,0,0,0,0,0,0,0,226312,128955,109131,226312
COM12424,KARISMA BAHANA AVIASI,ID,101675,0,0,0,0,0,0,0,0,91846,62436,52606,91846
COM12429,Premium Jet AG,CH,0,0,1,0,0,0,0,0,0,0,0,0,0
COM12441,CRONOS AIRLINES,GQ,54199,2704,3,0,0,0,0,0,0,54199,0,0,54199
COM12449,Hyperion Aviation Ltd,MT,466393,0,16,0,0,0,0,0,0,523519,261356,318482,523519
COM12456,AEROFLIGHT SERVICES,US,0,0,0,0,0,0,0,0,0,0,0,0,0
COM12465,Eclair s.r.o.,CZ,160319,15993,6,0,0,0,0,0,0,120841,100059,60581,120841
COM12473,VOLOTEA,ES,0,0,42,0,0,0,0,0,0,0,0,0,0
COM12484,BURAQ AIR,LY,317976,149077,5,0,0,0,0,0,0,321820,120620,124463,321820
COM12486,AEROVIAS DAP,CL,231845,20358,13,0,0,0,0,0,0,244484,139071,151710,244484
COM12489,OYONNAIR,FR,204584,19985,8,0,0,0,0,0,0,154228,132830,82473,154228
COM12491,Avinor Flysikring AS,NO,0,0,1,0,0,0,0,0,0,0,0,0,0
COM12494,MNG JET,TR,0,0,0,0,0,0,0,0,0,0,0,0,0
COM12496,BILEN AIR SERVICES,TR,280442,21632,1,0,0,0,0,0,0,301673,149612,170843,301673
COM12508,SKYBRIDGE,RS,13792,0,2,0,0,0,0,0,0,13166,8304,7677,13166
COM12511,AIR CHARTER EXPRESS LLC (Former REEM STYLE),AE,320109,0,8,0,0,0,0,0,0,248301,203479,131670,248301
COM12515,FALCON AVIATION SERVICES,AE,184447,0,7,0,0,0,0,0,0,156236,120168,91957,156236
COM12520,X-Operations GmbH,AT,0,0,6,0,0,0,0,0,0,0,0,0,0
COM12524,JETFLY AVIATION S.A.,LU,815848,70448,46,0,0,0,0,0,0,816484,486854,487490,816484
COM12527,LITHUANIAN AIR FORCE AIRBASE,LT,0,0,0,0,0,0,0,0,0,0,0,0,0
COM12528,"LINK CONNECTION AEREA, Tarmexico",MX,81017,0,4,0,0,0,0,0,0,99679,43382,62045,99679
COM12529,ARCUS AIR GmbH. & Co KG,DE,0,0,8,0,0,0,0,0,0,0,0,0,0
COM12530,Air X Charter Ltd,MT,15763,1356,19,0,0,0,0,0,0,15046,9490,8774,15046
COM12535,Executive Jets Asia Sdn Bhd,MY,0,0,0,0,0,0,0,0,0,0,0,0,0
COM12568,AIR ICELAND CONNECT,IS,257377,0,6,0,0,0,0,0,0,245204,155159,142986,245204
COM12572,Fighter Wing SKP,DK,236953,-8079,33,0,0,0,0,0,0,167478,181110,111634,167478
COM12574,ZIMEX AVIATION LTD.,CH,273134,21186,16,0,0,0,0,0,0,342916,147761,217543,342916
COM12577,ASISTIM (SITA),DE,1010490,0,39,0,0,0,0,0,0,934744,635862,560116,934744
